Respondent.ID,Wave,S0_Sample,Province,Segment,Q20_Bank usage,Q21_Main bank,Q1_Main Bank 1,Q2_NPS Main bank 1,Q2_1_Reason for NPS Main bank 1,Q3_Likelihood to recommend Mobile Banking_Main Bank 1,Q3_1_Reason for likelihood to recommend Mobile Banking_Main Bank 1,Q4_CSAT Product_Main Bank 1,Q5_CSAT Service_Main Bank 1,Q6_CSAT Price & Promotion_Main Bank 1,Q7_CSAT Convenience_Main Bank 1,Q8_CSAT Experience_Main Bank 1,Q9a_R1_Debit Card_Main Bank 1,Q9a_R2_Credit card_Main Bank 1,Q9a_R4_Banca_Main Bank 1,Q9a_R6_Terms deposit_Main Bank 1,Q9a_R7_Bond/Funds_Main Bank 1,Q9a_R8_Secured Loan_Main Bank 1,Q9a_R9_Unsecured Loan/ Overdraft without Collateral_Main Bank 1,Q9a_The lowest rated product's score_Main Bank 1,Q9a_The lowest rated product_Main Bank 1,Q9a_1_Reason for the lowest rated product's CSAT_Main Bank 1,Q9_R1_Branch_Main Bank 1,Q9_R2_Telesales_Main Bank 1,Q9_R3_Call Center_Main Bank 1,Q9_R4_Fanpage_Main Bank 1,Q9_R6_ATM_Main Bank 1,Q9_The lowest rated channel's score_Main Bank 1,Q9_The lowest rated channel_Main Bank 1,Q9_1_Reason for the lowest rated channel's CSAT_Main Bank 1,Q10_Main bank 2,Q11_NPS Main bank 2,Q11_1_Reason for NPS Main bank 2,Q31_Likelihood to recommend Mobile Banking_Main Bank 2,Q31_1_Reason for likelihood to recommend Mobile Banking_Main Bank 2,Q12_CSAT Product_Main Bank 2,Q13_CSAT Service_Main Bank 2,Q14_CSAT Price & Promotion_Main Bank 2,Q15_CSAT Convenience_Main Bank 2,Q16_CSAT Experience_Main Bank 2,Q17a_R1_Debit Card_Main Bank 2,Q17a_R2_Credit card_Main Bank 2,Q17a_R4_Banca_Main Bank 2,Q17a_R6_Terms deposit_Main Bank 2,Q17a_R7_Bond/Funds_Main Bank 2,Q17a_R8_Secured Loan_Main Bank 2,Q17a_R9_Unsecured Loan/ Overdraft without Collateral_Main Bank 2,Q17a_The lowest rated product's score_Main Bank 2,Q17a_The lowest rated product_Main Bank 2,Q17a_1_Reason for the lowest rated product's CSAT_Main Bank 2,Q17_R1_Branch_Main Bank 2,Q17_R2_Telesales_Main Bank 2,Q17_R3_Call Center_Main Bank 2,Q17_R4_Fanpage_Main Bank 2,Q17_R6_ATM_Main Bank 2,Q17_The lowest rated channel's score_Main Bank 2,Q17_The lowest rated channel_Main Bank 2,Q17_1_Reason for the lowest rated channel's CSAT_Main Bank 2,Q18_Brand Awareness,Q18a_Drive customer value by sustainably protecting and growing assets,Q18a.1_The bank provides experienced RMs and product's experts,"Q18a.2_The bank provides innovative, exclusive, investment solutions that ensure a seamless experience",Q18a.3_The bank offers impressive customer loyalty program,"Q18b_Your trusted partner to unlock opportunities in the most flexible and convenient way, empowering you to make the most of life on your own terms",Q18b.1_The bank offers intuitive and user-friendly digital banking services to manage your payments and grow your assets continuously,Q18b.2_The bank opens opportunities through solutions designed specifically for you,Q18b.3_The bank provides flexible customer loyalty program which brings customer satisfaction,Q18c.1_The bank gives me the feeling of safety and trust when using products and services,Q18c.2_The bank offers solution tailored to my needs,Q18c.3_The bank accompanies me to persuade my financial goals,Q18c.4_The bank deliver greater experiences
63c1fee0-13ae-11f0-8345-3942e4ee6b81,May'25,Online,Ho Chi Minh,MAF,"BIDV,MBBank,Techcombank,Vietcombank","BIDV,MBBank",BIDV,10,dễ sử  dụng không lỗi vặt ít bảo trì giao dịch an toàn bảo mật,10,"dễ sử dụng, nhanh gọn lẹ, bảo mật an toàn",5,5,5,5,5,4,5,5,5,5,5,4,4,Unsecured Loan/ Overdraft without Collateral,"Không cần tài sản bảo đảm: Điều quan trọng nhất là bạn không cần phải cung cấp tài sản cụ thể làm tài sản bảo đảm cho khoản vay. 
Vay vốn với đa mục đích: Khoản vay tín chấp có thể được sử dụng cho mục đích đa dạng, từ việc tổ chức đám cưới, du lịch, mua sắm đồ tiêu dùng đến các nhu cầu cá nhân khác. Bạn được tự do sử dụng tiền vay theo mong muốn cá nhân của mình, miễn rằng những mục đích sử dụng của bạn phải hợp pháp.",4,5,5,5,5,4,Branch,nhân viên nhiệt tình,MBBank,10,"Ứng dụng MB Bank có giao diện thân thiện, nhiều tính năng tiện lợi như mở tài khoản online, chuyển tiền miễn phí, đầu tư, mua bảo hiểm, nạp tiền điện thoại, thanh toán hóa đơn...

Tích hợp công nghệ eKYC giúp mở tài khoản nhanh chóng, không cần ra quầy.

.",10,"Ứng dụng MB Bank có giao diện thân thiện, nhiều tính năng tiện lợi như mở tài khoản online, chuyển tiền miễn phí, đầu tư, mua bảo hiểm, nạp tiền điện thoại, thanh toán hóa đơn...

Tích hợp công nghệ eKYC giúp mở tài khoản nhanh chóng, không cần ra quầy.",5,5,5,5,5,5,5,5,5,5,5,5,5,Bond/Funds,hay an toàn bảo mật,5,5,4,3,4,3,Fanpage,không quá đặc sắc,"Techcombank,Vietcombank,BIDV,MBBank,Vietinbank",,,,,MB Bank,Vietinbank,MB Bank,MB Bank,Vietinbank,Vietinbank,MB Bank,MB Bank
203212a0-265c-11f0-8fab-bbf6a7134db1,May'25,Online,Ha Noi,MAF,"Vietcombank,MBBank,Techcombank",Techcombank,Techcombank,8,cải thiện giao diện người dùng và tần suất bảo trì càng ít càng tốt,10,Techcombank dùng ít khi bị lỗi giao dịch,4,4,4,5,5,5,5,3,4,4,4,4,3,Banca,vì 1 số cách giới thiệu của nhân viên ngân hàng chưa đủ thuyết phục để khách hàng sẽ mua bảo hiểm,3,4,4,4,4,3,Branch,"1 số nơi chưa có chi nhánh, gây ra mất thời gian để đến chi nhánh gần nhất",None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Techcombank,Vietcombank,MBBank,MSB",,,,,Vietcombank,MB Bank,MB Bank,MB Bank,MB Bank,MB Bank,MB Bank,MB Bank
97c2d3c0-1047-11f0-8f6c-b58e038fcf8c,May'25,Online,Ho Chi Minh,MAF,"Techcombank,BIDV,MBBank",MBBank,MBBank,9,Dễ sử dụng độ uy tín cao nhân viên cskh thân thiện nhiệt tình ...,10,Tiện lợi,5,5,5,5,4,5,5,5,4,4,5,5,4,Bond/Funds,Uy tín,5,5,5,4,4,4,Fanpage,Nhiều lúc gặp sự cố,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Techcombank,ACB,Vietcombank,BIDV,MBBank,VPBank,MSB,Vietinbank",,,,,BIDV,BIDV,ACB,Vietcombank,Techcombank,MSB,Vietcombank,Techcombank
a1037380-25f0-11f0-87f9-ddec32ad2d51,May'25,Online,Ho Chi Minh,MAF,"ACB,Vietcombank",ACB,ACB,7,Tăng hạng mức tín dụng,7,Free mức phí,3,4,2,4,4,4,4,3,3,3,3,3,3,Banca,Không có lợi ích cao,4,4,4,4,4,4,Call Center,Nhiệt tình,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ACB,Vietcombank,MBBank",,,,,ACB,ACB,ACB,ACB,ACB,ACB,ACB,ACB
1c61b790-136d-11f0-8d2e-0923c372ee5d,May'25,Online,Ho Chi Minh,MAF,"Techcombank,MBBank,VPBank",VPBank,VPBank,9,"Ngân hàng tiện dụng,rút tiền tự động",9,App dễ sử dụng,4,4,3,4,4,4,4,3,4,3,3,3,3,Unsecured Loan/ Overdraft without Collateral,Tôi ít sử dụng,4,4,4,4,5,4,Call Center,Tiếp nhận yêu cầu nhanh chóng,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Techcombank,ACB,Vietcombank,BIDV,MBBank,VPBank,MSB,Vietinbank",,,,,VPBank,Techcombank,MSB,ACB,VPBank,ACB,BIDV,VPBank
92c09250-e9f2-11ef-b251-bbb67cc5df9c,May'25,Online,Ho Chi Minh,MAF,"Vietcombank,BIDV,Techcombank","BIDV,Techcombank",BIDV,9,Chất lượng dịch vụ cao,9,Ứng dụng di động hoạt động ổn định,4,4,4,4,5,4,5,4,4,3,4,4,3,Bond/Funds,Lãi suất thấp,4,5,5,4,4,4,ATM,Máy ATM hoạt động ổn định,Techcombank,9,Lãi suất cao,9,Ứng dụng di động hoạt động ổn định,5,5,5,5,5,5,5,5,5,5,5,5,5,Credit card,Thẻ tín dụng hoạt động ổn định,5,5,5,5,5,5,Telesales,Kênh bán hàng hoạt động ổn định,"Techcombank,ACB,Vietcombank,BIDV,MBBank,VPBank,MSB,Vietinbank",,,,,Techcombank,Vietcombank,BIDV,BIDV,Techcombank,Techcombank,Vietcombank,Vietcombank
5df129b0-248e-11f0-a7f9-ff0c921fdbb7,May'25,Online,Ho Chi Minh,MAF,"Vietcombank,BIDV",BIDV,BIDV,9,"Nhanh chóng, thân thiện, an toàn!",9,"Tiện lợi, dễ thao tác, liên kết được với nhiều nền tảng.",5,5,5,5,5,5,4,3,4,4,4,4,3,Banca,"Bảo hiểm không mang lại giá trị thực chất, không bảo vệ lợi ích tối đa cho người gửi, người sử dụng dịch vụ rất miễn cưỡng khi buộc phải mua bảo hiểm để đạt được mục đích chính của họ.
1/ phải làm sao Bảo hiểm thể hiện được sự tự nguyện thực chất của người sử dụng dịch vụ.
2/ nếu không giữ được sự tự nguyện thực chất cho người sử dụng dịch vụ thì tốt nhất nên bỏ đi.",5,3,4,3,4,3,Fanpage,"Vì tôi tham gia Facebook hơn 15 năm nay, mà tôi không biết BIDV cũng có trang Facebook!
Điều đó cho thấy công tác tuyên truyền trên không gian mạng xã hội mình còn yếu! Chưa được nhiều người biết đến!",None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vietcombank,BIDV,MBBank,VPBank,Vietinbank",,,,,BIDV,BIDV,BIDV,BIDV,BIDV,BIDV,BIDV,BIDV
03ac8d00-f685-11ec-a0c3-9b4a75177fcd,May'25,Online,Ho Chi Minh,MAF,"Vietcombank,MBBank,Techcombank",Vietcombank,Vietcombank,9,Ngân hàng thương mại cổ phẩn lớn nhất trên thị trường VN,8,Tôi nghĩ cần phải có nhiều dịch vụ đa dạng như ví điện tử,3,4,5,4,5,5,4,5,4,5,5,4,4,Unsecured Loan/ Overdraft without Collateral,Tôi thấy dịch vụ này làm rất hợp pháp và gọn gàng,3,5,3,4,5,3,Branch,Chi nhánh tương đối xa so với chỗ ở của tôi,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Techcombank,ACB,Vietcombank,BIDV,MBBank,VPBank,MSB,Vietinbank",,,,,Vietcombank,Techcombank,Vietcombank,Vietinbank,Vietcombank,BIDV,Vietcombank,MB Bank
4d35b650-5d82-11ec-ac58-6392d7f5c3cf,May'25,Online,Ho Chi Minh,MAF,Vietcombank,Vietcombank,Vietcombank,8,Có nhiều mã giảm,9,Không có quà hấp dẫn cho người tải mới,4,3,4,4,4,4,4,4,3,4,4,4,3,Terms deposit,Lãi suất không cao,4,4,3,4,4,3,Call Center,Thời gian xử lý lâu,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vietcombank,BIDV",,,,,BIDV,BIDV,Vietcombank,BIDV,Vietcombank,BIDV,Vietcombank,BIDV
e6a466c0-1520-11f0-a831-c1869ab5f7b0,May'25,Online,Ha Noi,MAF,"MBBank,Techcombank,Vietcombank",MBBank,MBBank,8,Phí thấp hơn,10,Ứng dụng tiện lợi,4,5,3,5,4,5,4,4,3,3,4,3,3,Unsecured Loan/ Overdraft without Collateral,Lãi suất hơi cao,4,3,5,5,4,3,Telesales,Tôi ít khi sử dụng,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Techcombank,ACB,Vietcombank,BIDV,MBBank,VPBank,MSB,Vietinbank",,,,,BIDV,MB Bank,Techcombank,MB Bank,MB Bank,BIDV,MB Bank,MB Bank
427b43c0-f457-11ef-b823-b94907d83b30,May'25,Online,Ho Chi Minh,MAF,"Techcombank,ACB,BIDV",ACB,ACB,10,Nhân viên thân thiện vui vẻ ứng dụng sẽ dễ sử dụng,10,Ứng dụng liên mặt không bị gián đoạn,4,5,4,5,5,4,5,5,5,4,5,5,4,Bond/Funds,Ít bị tụt giá,5,5,5,5,4,4,ATM,Trụ  không bị lỗi,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Techcombank,ACB,Vietcombank,BIDV,MBBank,VPBank,MSB,Vietinbank",,,,,ACB,BIDV,ACB,ACB,Techcombank,ACB,Vietinbank,ACB
2u+suE3vHuPgRGjdQer0j14ZiVqfW1bqXxoKVWLnFWG8wK4d1NrG3fWBFZf1N9bv,May'25,Online,Ho Chi Minh,MAF,"VPBank,Vietcombank,BIDV,MBBank",MBBank,MBBank,9,"Chăm sóc khách hàng tốt,giao dịch an toàn",10,Chế độ bảo mật cao,4,5,4,4,5,4,5,4,4,4,5,4,4,Unsecured Loan/ Overdraft without Collateral,Vì tôi sẽ được vay dễ dàng dù không có tài sản thế chấp,4,4,5,4,5,4,Telesales,Không làm phiền nếu tôi không cho phép,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Techcombank,Vietcombank,BIDV,MBBank,VPBank,Vietinbank",,,,,Vietcombank,MB Bank,Vietcombank,MB Bank,Vietcombank,MB Bank,Vietinbank,MB Bank
dzXMiAJnHVMnxB+iHw72ARV4WL6FTc+0+cE8fTb7dMpV+JCodPbvLl/sJXyR3uRV,May'25,Online,Ha Noi,MAF,"VPBank,ACB",VPBank,VPBank,9,"Dịch vụ ngân hàng chuyên nghierpj nhất, luôn thấu hiểu khách hàng",8,"Đa dang dich vụ, nhiều ưu đãi khuyến mãi",5,5,5,5,5,5,5,4,5,4,4,5,4,Banca,"An tâm bảo vệ tài sản tiêu dùng, nhiều sản phẩm đáp ứng tài chính",5,5,5,5,4,4,ATM,"Được phân bố đều, dễ sử dụng",None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Techcombank,ACB,MBBank,VPBank",,,,,VPBank,VPBank,VPBank,VPBank,VPBank,VPBank,VPBank,VPBank
Tz+I3F6JaRlCu22H3NDTmXJg6GxqLExJZ5fS2e3TinyqcpoY9VWoWQ1D+oRFFgIt,May'25,Online,Ha Noi,MAF,MBBank,MBBank,MBBank,10,"Uy tín, phục vụ tốt",10,Dễ sử dụng,4,4,3,5,5,5,4,3,5,3,4,3,3,Unsecured Loan/ Overdraft without Collateral,Vì dịch vụ này có rủi ro,4,4,5,4,4,4,Fanpage,Chia sẻ thông tin hữu ích,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BIDV,MBBank,Vietinbank",,,,,MB Bank,MB Bank,MB Bank,MB Bank,MB Bank,MB Bank,MB Bank,MB Bank
efL3KYAWJXmYNQ4sOWj4E8B+tnyL8bLDf8mchJGAJe0=,May'25,Online,Ha Noi,MAF,"BIDV,MBBank,VPBank,Techcombank,Vietcombank","Techcombank,Vietcombank",Vietcombank,9,Có các dịch vụ tư vấn và hỗ trợ khách hàng tốt nhất,10,Ứng dụng di động cho phép tra cứu và giải đáp các vấn đề giao dịch,5,4,5,5,4,4,5,4,5,4,4,5,4,Secured Loan,Khoản vay có nhiều điểm lợi ích cho người được vay,5,4,5,4,4,4,Fanpage,Có cập nhật các tin tức mới nhất,Techcombank,10,Ngân hàng luôn hỗ trợ với mức vay tối đa và có lợi ích,9,Ứng dụng dễ sử dụng và tiện lợi,5,4,5,4,4,4,5,5,5,4,5,4,4,Bond/Funds,Mục đích có lợi và khuyến khích nhiều hơn cho ngân hàng,5,5,4,4,4,4,Fanpage,Chia sẻ và hỗ trợ thông tin nhanh chóng,"Techcombank,ACB,Vietcombank,BIDV,MBBank,VPBank,MSB,Vietinbank",,,,,Vietinbank,Techcombank,MB Bank,VPBank,Vietcombank,Techcombank,Vietinbank,BIDV
znXGR2biNkdQ8dBpgraOeu8fe13tyhLoRpjZ7z57BGE=,May'25,Online,Ha Noi,MAF,"Techcombank,Vietcombank,BIDV",Techcombank,Techcombank,10,"Ngân hàng uy tín, dịch vụ tốt",9,Dễ sử dụng,4,5,4,4,5,5,4,4,5,3,4,4,3,Bond/Funds,Không phổ biến,4,3,5,4,5,3,Telesales,Ít người biết,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Techcombank,ACB,Vietcombank,BIDV,MBBank,Vietinbank",,,,,MB Bank,Vietcombank,Techcombank,Vietcombank,Techcombank,Techcombank,Techcombank,BIDV
Y6ytXTuBwqik14VajiC8cf8E540ObyCa6MsuwoyoUGk=,May'25,Online,Ha Noi,MAF,"Techcombank,Vietcombank,BIDV,MBBank,VPBank",Vietcombank,Vietcombank,10,"dịch vụ đầy đủ, giao dịch nhanh, dễ sử dụng, bạn bè cũng sử dụng ngân hàng vietcombank nhiều",10,"dễ sử dụng, thân thiện, giao dịch nhanh, độ trễ thấp",5,5,5,5,5,5,4,5,4,5,5,5,4,Terms deposit,"lãi suất cùng mặt bằng với các ngân hàng khác, không có gì nổi bật",5,5,5,5,4,4,ATM,"sản phẩm hoạt động tốt, dễ dùng. Nhưng các ngân hàng khác đã nâng cấp nhận tiền mặt, mở tài khoản",None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Techcombank,Vietcombank,BIDV,MBBank,VPBank,Vietinbank",,,,,VPBank,BIDV,MB Bank,Vietcombank,Vietcombank,MB Bank,Vietcombank,VPBank
uyA5SJkE560ki7nJRDl7NN3uNGZzgiXjNAgeJkgn/i4=,May'25,Online,Ho Chi Minh,MAF,Techcombank,Techcombank,Techcombank,10,Vì ngân hàng Techcombank có phí dịch vụ hợp lý.,10,"Vì ứng dụng ngân hàng trên điện thoại di động của ngân hàng Techcombank có giao diện đẹp, dễ sử dụng.",5,4,5,5,4,5,4,I do not use this bank product,5,I do not use this bank product,I do not use this bank product,I do not use this bank product,4,Credit card,Vì thẻ tín dụng Techcombank có phí thường niên hợp lý.,5,Not use in recent 1 month,4,5,4,4,Call Center,Vì nhân viên tổng đài chăm sóc khách hàng cá nhân của ngân hàng Techcombank rất lịch sự và thân thiện.,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Techcombank,Vietcombank,BIDV,MBBank,VPBank,MSB,Vietinbank",,,,,Techcombank,Techcombank,Techcombank,Techcombank,Techcombank,None of above,Techcombank,Techcombank
y7NJSOFllOqeDFcVSkMOx5vpy0hqxtloM1O9SQ+VwJk=,May'25,Online,Ho Chi Minh,MAF,"Techcombank,Vietcombank",Techcombank,Techcombank,10,Là ngân hàng có thể mạnh và đã có uy tín,10,"Giao diện đẹp,thành toán an toàn, bảo mật cao",5,5,5,5,5,I do not use this bank product,5,5,5,I do not use this bank product,5,5,5,Credit card,"Là ngân hàng có nhiều khuyến mãi, dịch vụ tốt nhất",5,5,5,5,5,5,Call Center,Tổng đài chăm sóc khách hàng rất tốt và có chuyên môn nghiệp vụ cao,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Techcombank,ACB,Vietcombank,BIDV,MBBank,VPBank,MSB,Vietinbank",,,,,Techcombank,Techcombank,Techcombank,Techcombank,Techcombank,Techcombank,Techcombank,Techcombank
